,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Rk,Player,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
76,Jack Butland\Jack-Butland,GK,Crystal Palace,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
77,David Button\David-Button,GK,West Brom,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
78,Oskar Buur\Oskar-Buur,DF,Wolves,0.2,0,0,0,0,0,0,5,0,5,25,0,0,15,0,10,0,0,0,0,0,0,0,0
79,Willy Caballero\Willy-Caballero,GK,Chelsea,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
80,Gary Cahill\Gary-Cahill,DF,Crystal Palace,20,0.65,0.35,0.5,0.15,0,0.2,0.5,40,0.3,5.05,1.45,28.7,3.3,1.35,0.4,2.25,1.4,0,0.85,0.95,1.6,6.35,0.1
81,Tom Cairney\Tom-Cairney,MF,Fulham,8.4,0.6,0.48,0.12,0.24,0.24,0,0.36,0,0.36,7.74,2.5,32.3,2.14,3.81,1.79,0.71,0,0,0.71,0.12,0.71,0.36,0
82,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,Everton,31.9,0.53,0.38,0,0.22,0.31,0.06,0.34,18.2,0.28,10.9,3.04,28,0.72,4.7,5.45,0.97,0.25,0,0.72,0.16,0.69,0.97,0
83,João Cancelo\Joao-Cancelo,DF,Manchester City,25.5,3.02,1.73,1.61,1.02,0.39,1.61,3.49,46.1,1.88,13.3,4.75,35.8,5.37,4.9,2.98,1.49,0.12,0,1.37,2.08,5.1,1.41,0.04
84,Ian Carlo Poveda\Ian-Carlo-Poveda,MFDF,Leeds United,3.9,2.31,1.79,1.54,0.26,0.51,1.54,3.08,50,1.54,20,5.38,26.9,7.18,7.44,5.38,1.03,0.26,0,0.77,0.51,2.82,0,0
85,Andy Carroll\Andy-Carroll,FW,Newcastle Utd,4.4,0.45,0.23,0.23,0,0.23,0,1.36,0,1.36,13.6,3.18,23.3,1.59,7.05,5,0.45,0,0,0.45,0.23,0.68,2.5,0
86,Scott Carson\Scott-Carson,GK,Manchester City,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
87,Fabio Carvalho\Fabio-Carvalho,MFFW,Fulham,2.8,2.86,1.79,1.07,1.43,0.36,1.43,2.86,50,1.43,38.9,8.57,22,4.64,17.1,17.1,2.14,0,0,2.14,1.43,4.29,0,0
88,Matty Cash\Matty-Cash,DF,Aston Villa,26.4,2.95,1.67,1.55,1.1,0.3,1.29,2.88,44.7,1.59,16.9,4.81,28.5,8.79,6.36,1.74,2.92,0.57,0,2.35,1.86,4.81,4.17,0.08
89,Kiko Casilla\Kiko-Casilla,GK,Leeds United,3,0,0,0,0,0,0,0,,0,0.33,0.33,100,0.33,0,0,0,0,0,0,0,0,0,0
90,Timothy Castagne\Timothy-Castagne,DF,Leicester City,26.1,2.26,1.3,1.19,0.84,0.23,0.77,1.69,45.5,0.92,13.4,3.83,28.5,5.59,4.98,2.87,2.03,0.19,0,1.84,0.88,3.14,2.57,0.04
91,Jonny Castro\Jonny-Castro,DF,Wolves,5.5,1.64,1.09,0.91,0.36,0.36,0.91,3.27,27.8,2.36,18,4.55,25.3,6.73,7.82,3.45,1.82,0.55,0,1.27,1.27,2.91,1.45,0
92,Ivan Cavaleiro\Ivan-Cavaleiro,FWMF,Fulham,27.5,1.02,0.76,0.47,0.36,0.18,0.15,0.8,18.2,0.65,16.2,4.76,29.4,2.98,6.65,6.55,1.38,0.04,0,1.35,0.65,1.67,0.8,0.04
93,Edinson Cavani\Edinson-Cavani,FW,Manchester Utd,15.3,0.98,0.72,0.07,0.52,0.39,0.2,0.78,25,0.59,13.7,3.86,28.1,1.05,4.97,7.71,0.39,0.07,0,0.33,0.65,1.63,0.72,0
94,Dani Ceballos\Dani-Ceballos,MF,Arsenal,17.9,2.23,1.84,1.06,0.67,0.5,0.73,2.74,26.5,2.01,15.7,4.19,26.7,6.76,5.59,3.35,1.62,0.39,0.06,1.23,1.34,3.58,1.17,0
95,Calum Chambers\Calum-Chambers,DF,Arsenal,8.4,1.07,0.36,0.48,0.36,0.24,0.36,1.19,30,0.83,11.3,3.33,29.5,5.95,3.57,1.79,1.9,0.36,0,1.55,1.67,2.74,5.36,0
96,Ben Chilwell\Ben-Chilwell,DF,Chelsea,25.4,1.81,1.14,0.75,0.79,0.28,0.63,1.46,43.2,0.83,12.7,4.02,31.6,5.24,5.16,2.32,2.56,0.12,0,2.44,1.14,2.95,2.6,0
97,Hamza Choudhury\Hamza-Choudhury,MF,Leicester City,3.5,3.14,2,1.43,1.71,0,0.57,2.86,20,2.29,15.1,5.14,34,5.14,8.86,1.14,2.57,0.57,0,2,1.43,4.57,1.71,0.29
98,Andreas Christensen\Andreas-Christensen,DF,Chelsea,15.2,1.32,0.79,0.92,0.26,0.13,0.33,0.72,45.5,0.39,6.78,2.5,36.9,3.68,2.5,0.59,1.71,0.99,0,0.72,1.71,3.03,5.26,0.07
99,Carney Chukwuemeka\Carney-Chukwuemeka,FWMF,Aston Villa,0.2,10,10,5,0,5,5,15,33.3,10,70,15,21.4,30,20,20,5,0,0,5,0,10,0,0
100,Ciaran Clark\Ciaran-Clark,DF,Newcastle Utd,21,1.29,0.67,0.86,0.33,0.1,0.14,0.48,30,0.33,7.43,2.33,31.4,4.86,2,0.57,2.14,0.95,0,1.19,1.24,2.52,6.38,0.14
101,Nathaniel Clyne\Nathaniel-Clyne,DF,Crystal Palace,12.7,1.65,0.71,1.1,0.55,0,0.71,1.26,56.3,0.55,9.21,2.44,26.5,5.75,2.28,1.18,1.97,0.16,0,1.81,1.02,2.68,2.52,0
102,Conor Coady\Conor-Coady,DF,Wolves,36.7,0.84,0.63,0.63,0.22,0,0.38,1.01,37.8,0.63,5.53,1.93,35,4.06,1.42,0.05,1.61,1.06,0.05,0.54,0.68,1.53,4.44,0.03
103,Séamus Coleman\Seamus-Coleman,DFMF,Everton,17.9,2.18,1.45,1.4,0.5,0.28,0.95,2.23,42.5,1.28,13.5,4.08,30.2,7.49,4.02,2.01,2.18,0.5,0,1.68,1.23,3.41,2.12,0.06
104,Aaron Connolly\Aaron-Connolly,FW,Brighton,8.8,0.8,0.57,0.23,0.45,0.11,0.11,0.57,20,0.45,14.1,4.55,32.3,0.8,6.59,6.7,1.02,0.11,0,0.91,0,0.8,0.11,0
105,Liam Cooper\Liam-Cooper,DF,Leeds United,24.3,3.13,1.93,1.98,1.11,0.04,1.4,2.39,58.6,0.99,12,4.73,39.5,7.45,4.2,0.33,1.85,1.28,0,0.58,2.18,5.31,5.06,0.04
106,Theo Corbeanu\Theo-Corbeanu,FW,Wolves,0.1,10,0,0,10,0,0,10,0,10,40,10,25,10,20,10,0,0,0,0,10,20,0,0
107,Jack Cork\Jack-Cork,MF,Burnley,15,1.67,1.07,0.4,1,0.27,0.6,1.8,33.3,1.2,15.6,4.73,30.3,3.87,8.07,3.67,1.33,0.4,0,0.93,1,2.67,1.6,0
108,Hélder Costa\Helder-Costa,MFFW,Leeds United,12.8,2.34,1.17,1.09,0.55,0.7,0.7,2.5,28.1,1.8,20.7,5.63,27.2,7.27,7.97,5.47,1.48,0,0,1.48,0.47,2.81,0.7,0
109,Vladimír Coufal\Vladimir-Coufal,DF,West Ham,33.9,2.27,1.21,1.68,0.5,0.09,1.3,2.74,47.3,1.45,13.5,3.72,27.6,7.29,4.13,2.06,2.18,0.15,0,2.04,1.15,3.42,3.6,0.03
110,Aaron Cresswell\Aaron-Cresswell,DF,West Ham,35.2,0.88,0.37,0.43,0.4,0.06,0.4,0.97,41.2,0.57,6.53,1.9,29.1,3.47,2.56,0.51,1.36,0.4,0,0.97,1.02,1.9,2.78,0
111,Patrick Cutrone\Patrick-Cutrone,FWMF,Wolves,0.3,0,0,0,0,0,0,0,,0,23.3,6.67,28.6,6.67,3.33,13.3,0,0,0,0,0,0,0,0
