,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Rk,Player,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
477,Ferrán Torres\Ferran-Torres,FWMF,Manchester City,14.5,1.03,0.55,0.41,0.41,0.21,0.48,1.52,31.8,1.03,15,4.55,30.4,2.55,6.41,6,1.17,0.07,0,1.1,0.48,1.52,0.41,0
478,Cenk Tosun\Cenk-Tosun,FW,Everton,0.5,0,0,0,0,0,0,0,,0,16,2,12.5,4,8,4,0,0,0,0,0,0,0,0
479,Andros Townsend\Andros-Townsend,MFFW,Crystal Palace,25.1,2.75,1.43,1.55,0.8,0.4,1.04,3.67,28.3,2.63,21.2,5.34,25.1,9.64,8.01,3.59,2.43,0.08,0,2.35,1.91,4.66,0.48,0
480,Conor Townsend\Conor-Townsend,DF,West Brom,24.8,2.26,1.29,1.49,0.56,0.2,1.25,2.18,57.4,0.93,11,3.75,34.2,5.24,4.11,1.61,1.81,0.65,0.08,1.17,1.61,3.87,2.62,0.04
481,Adama Traoré\Adama-Traore,FW,Wolves,29.4,1.09,0.78,0.51,0.41,0.17,0.31,0.68,45,0.37,11.7,3.64,31,2.65,6.26,2.82,0.95,0.07,0,0.88,0.37,1.46,0.54,0.03
482,Bertrand Traoré\Bertrand-Traore,FW,Aston Villa,25.7,1.01,0.35,0.35,0.31,0.35,0.35,1.52,23.1,1.17,15.1,2.88,19,4.12,6.11,4.9,1.01,0.04,0,0.97,0.89,1.91,0.62,0
483,Trézéguet\Trezeguet,FW,Aston Villa,13,2.46,1.38,1,0.92,0.54,0.85,2.92,28.9,2.08,23.4,5.15,22,7,9.15,7.23,2.08,0.08,0,2,0.85,3.31,1.23,0
484,Leandro Trossard\Leandro-Trossard,FWMF,Brighton,29,0.93,0.69,0.24,0.55,0.14,0.21,1.07,19.4,0.86,14.7,4.52,30.8,3.59,5.97,5.1,1.41,0.14,0,1.28,0.83,1.76,0.17,0
485,Kostas Tsimikas\Kostas-Tsimikas,DF,Liverpool,0.1,0,0,0,0,0,0,0,,0,40,30,75,0,20,20,0,0,0,0,0,0,0,0
486,Axel Tuanzebe\Axel-Tuanzebe,DF,Manchester Utd,4.5,2.22,1.11,1.11,0.89,0.22,1.33,1.78,75,0.44,12.9,3.56,27.6,8,4.22,0.67,3.11,1.56,0,1.56,0.89,3.11,4.22,0.22
487,Cengiz Ünder\Cengiz-Under,MFFW,Leicester City,3.1,0.97,0.97,0,0.65,0.32,0.32,1.61,20,1.29,14.2,4.84,34.1,3.55,5.81,4.84,1.61,0,0,1.61,0.97,1.94,0,0
488,Yan Valery\Yan-Valery,DFMF,Southampton,1.1,2.73,1.82,0.91,1.82,0,0,3.64,0,3.64,29.1,8.18,28.1,11.8,10,7.27,4.55,0,0,4.55,2.73,5.45,4.55,0
489,Jamie Vardy\Jamie-Vardy,FW,Leicester City,31.6,0.47,0.25,0.09,0.16,0.22,0.09,0.47,20,0.38,9.34,2.5,26.8,0.44,3.23,5.66,0.51,0.16,0,0.35,0.25,0.73,0.92,0
490,Joël Veltman\Joel-Veltman,DF,Brighton,25.3,3.04,1.62,1.86,0.87,0.32,1.3,2.49,52.4,1.19,12.3,3.64,29.5,5.57,4.82,1.94,1.38,0.16,0,1.23,1.38,4.43,3.32,0
491,Jannik Vestergaard\Jannik-Vestergaard,DF,Southampton,28.6,2.13,1.29,1.43,0.59,0.1,1.08,1.89,57.4,0.8,7.52,3.01,40,5,2.17,0.35,1.33,0.66,0,0.66,1.29,3.43,5.56,0
492,Rúben Vinagre\Ruben-Vinagre,DF,Wolves,1.9,2.63,1.58,1.58,1.05,0,1.05,2.63,40,1.58,13.7,2.63,19.2,6.84,4.74,2.11,2.11,0,0,2.11,0.53,3.16,3.16,0
493,Carlos Vinícius\Carlos-Vinicius,FW,Tottenham,3.4,0.29,0,0.29,0,0,0.29,0.29,100,0,15,4.12,27.5,1.18,6.18,7.65,0.59,0,0,0.59,0.29,0.59,1.47,0
494,João Virgínia\Joao-Virginia,GK,Everton,0.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
495,Vitinha\Vitinha,MF,Wolves,5.8,1.72,1.21,0.52,1.03,0.17,0,1.21,0,1.21,21.9,7.07,32.3,5.17,13.1,3.62,0.52,0,0,0.52,0.69,2.41,0.34,0
496,Jake Vokins\Jake-Vokins,DF,Southampton,0.7,0,0,0,0,0,0,1.43,0,1.43,14.3,2.86,20,8.57,5.71,0,0,0,0,0,0,0,1.43,0
497,Matěj Vydra\Matej-Vydra,FW,Burnley,15.2,0.59,0.39,0.2,0.2,0.2,0.07,0.59,11.1,0.53,18.5,5.2,28.1,0.72,6.78,11,0.99,0.07,0,0.92,0.33,0.92,0.46,0
498,Theo Walcott\Theo-Walcott,MFFW,Southampton,18,1.61,1,0.67,0.67,0.28,0.61,2.28,26.8,1.67,18.9,5.61,29.7,5.17,8.22,5.5,1.28,0.06,0,1.22,0.5,2.11,0.33,0
499,Theo Walcott\Theo-Walcott,FW,Everton,0.1,0,0,0,0,0,0,0,,0,50,10,20,30,20,0,0,0,0,0,0,0,0,0
500,Kyle Walker\Kyle-Walker,DF,Manchester City,21.6,1.71,1.25,0.88,0.65,0.19,0.88,1.62,54.3,0.74,10.9,3.61,33.1,4.07,5.19,1.67,1.34,0.32,0,1.02,0.69,2.41,1.76,0
501,Kyle Walker-Peters\Kyle-Walker-Peters,DF,Southampton,29.4,2.82,1.46,1.94,0.78,0.1,0.88,1.94,45.6,1.05,14.3,4.29,29.9,7.45,5.44,1.43,2.38,0.51,0,1.87,1.36,4.18,2.31,0.03
502,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,DF,Manchester Utd,34,2.85,1.53,1.76,0.88,0.21,0.62,1.18,52.5,0.56,12.8,4.12,32.3,5.74,4.97,2.06,3.32,0.5,0,2.82,1.94,4.79,3.18,0
503,Joel Ward\Joel-Ward,DF,Crystal Palace,25.1,1.83,1.04,1.39,0.44,0,0.76,1.55,48.7,0.8,14.2,3.67,25.8,8.09,4.34,1.75,1.95,0.36,0,1.59,2.07,3.9,4.58,0.04
504,James Ward-Prowse\James-Ward-Prowse,MF,Southampton,38,2.21,1.5,0.89,1.13,0.18,0.76,1.95,39.2,1.18,16.6,5.45,32.9,5.79,8.53,2.26,1.87,0.13,0,1.74,1.16,3.37,2,0
505,Ollie Watkins\Ollie-Watkins,FW,Aston Villa,37,0.95,0.59,0.14,0.49,0.32,0.27,0.81,33.3,0.54,16.9,4.49,26.5,0.97,6.65,9.3,0.51,0.08,0,0.43,0.32,1.27,0.68,0
506,Caleb Watts\Caleb-Watts,MFFW,Southampton,0.4,5,2.5,5,0,0,5,12.5,40,7.5,50,17.5,35,22.5,20,7.5,7.5,0,0,7.5,0,5,0,0
507,Adam Webster\Adam-Webster,DF,Brighton,28.8,1.04,0.73,0.63,0.35,0.07,0.49,1.11,43.8,0.63,7.43,3.02,40.7,3.37,3.23,0.83,1.77,0.73,0.03,1.04,1.39,2.43,4.27,0
508,Danny Welbeck\Danny-Welbeck,FW,Brighton,17.2,0.7,0.47,0.17,0.35,0.17,0.23,0.87,26.7,0.64,14.8,3.55,23.9,2.5,5.76,6.57,1.34,0.17,0,1.16,0.29,0.99,0.64,0
509,Timo Werner\Timo-Werner,FW,Chelsea,28.9,0.97,0.62,0.31,0.48,0.17,0.35,1.45,23.8,1.11,13.1,3.84,29.2,2.35,5.36,5.43,0.83,0.03,0,0.8,0.21,1.18,0.14,0
510,Ashley Westwood\Ashley-Westwood,MF,Burnley,37.9,0.66,0.37,0.24,0.32,0.11,0.13,1.06,12.5,0.92,13,3.51,27,4.09,6.99,1.9,1.32,0.26,0,1.06,1.27,1.93,1.29,0
511,Ben White\Ben-White,DFMF,Brighton,35.5,1.58,0.93,0.79,0.68,0.11,0.68,1.8,37.5,1.13,11.5,4,34.7,5.18,5.3,1.04,1.94,0.7,0,1.24,1.27,2.85,2.2,0.06
512,Georginio Wijnaldum\Georginio-Wijnaldum,MF,Liverpool,32.7,0.92,0.73,0.28,0.49,0.15,0.28,1.04,26.5,0.76,13,4.71,36.2,3.73,6.57,2.69,1.13,0.09,0,1.04,0.76,1.68,0.73,0.03
513,Brandon Williams\Brandon-Williams,DF,Manchester Utd,2.1,0.48,0.48,0,0.48,0,0,0.48,0,0.48,7.14,1.9,26.7,2.86,3.81,0.48,2.38,0,0,2.38,4.29,4.76,1.43,0
514,Neco Williams\Neco-Williams,DF,Liverpool,2.8,2.14,1.79,1.43,0.71,0,1.07,2.86,37.5,1.79,16.1,4.64,28.9,6.07,6.43,3.57,2.86,0.36,0,2.5,1.79,3.93,1.43,0
515,Rhys Williams\Rhys-Williams,DF,Liverpool,7.3,0.82,0.27,0.27,0.55,0,0.14,0.27,50,0.14,7.4,2.05,27.8,3.97,2.88,0.55,0.68,0.55,0,0.14,1.1,1.92,9.18,0.14
516,Willian\Willian,FWMF,Arsenal,15.6,1.03,0.38,0.51,0.45,0.06,0.45,1.6,28,1.15,12.3,3.14,25.5,2.82,4.94,4.55,1.41,0,0,1.41,0.77,1.79,0.26,0
517,Joe Willock\Joe-Willock,MF,Arsenal,2.6,1.54,1.54,0.77,0.38,0.38,0,2.69,0,2.69,16.2,5.77,35.7,5.38,6.15,4.62,3.46,0.38,0,3.08,1.92,3.46,0,0
518,Joe Willock\Joe-Willock,MF,Newcastle Utd,10.9,3.12,2.29,1.83,0.92,0.37,1.01,4.4,22.9,3.39,30.4,5.5,18.1,12.9,11.8,5.6,2.75,0.46,0,2.29,2.94,6.06,1.38,0
519,Callum Wilson\Callum-Wilson,FW,Newcastle Utd,23.2,0.56,0.43,0.09,0.26,0.22,0.13,0.52,25,0.39,14.4,3.88,26.9,1.42,5.99,7.03,0.78,0.13,0,0.65,0.13,0.69,0.52,0.04
520,Harry Winks\Harry-Winks,MF,Tottenham,9.6,2.5,1.46,1.56,0.94,0,0.94,2.29,40.9,1.35,16.8,5.42,32.3,7.29,7.71,1.77,1.25,0.42,0,0.83,1.67,4.17,1.25,0
521,Chris Wood\Chris-Wood,FW,Burnley,30.5,0.56,0.36,0.13,0.1,0.33,0.2,0.56,35.3,0.36,11.6,2.98,25.7,0.66,4.3,6.66,0.89,0.13,0,0.75,0.16,0.72,0.62,0
522,Granit Xhaka\Granit-Xhaka,MFDF,Arsenal,28,2.07,1.32,0.82,0.79,0.46,1.18,2.29,51.6,1.11,12.4,3.43,27.7,3.86,5.75,2.75,1.18,0.25,0,0.93,0.89,2.96,1.96,0.04
523,Andriy Yarmolenko\Andriy-Yarmolenko,FWMF,West Ham,4.2,1.43,0.95,0.71,0.48,0.24,0.24,1.43,16.7,1.19,13.3,5,37.5,5.24,5,3.1,1.67,0,0,1.67,0.71,2.14,0.24,0
524,DeAndre Yedlin\DeAndre-Yedlin,DF,Newcastle Utd,4.8,2.08,1.25,2.08,0,0,0.83,2.5,33.3,1.67,13.5,4.17,30.8,7.71,3.54,2.29,1.88,0.21,0,1.67,0.63,2.71,3.96,0
525,Okay Yokuşlu\Okay-Yokuslu,MF,West Brom,14.6,3.22,2.26,1.71,1.37,0.14,1.1,2.53,43.2,1.44,19.5,6.16,31.6,8.77,9.04,1.71,1.71,0.21,0,1.51,2.88,6.1,2.74,0.07
526,Wilfried Zaha\Wilfried-Zaha,FW,Crystal Palace,29,1.17,0.83,0.52,0.48,0.17,0.31,1.03,30,0.72,19.6,4.79,24.5,3.72,9.45,6.41,0.72,0,0,0.72,0.93,2.1,0.07,0
527,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,MF,Fulham,28.7,3.03,1.85,0.94,1.6,0.49,0.8,1.99,40.4,1.18,19.6,5.71,29.2,5.99,9.58,4.01,1.64,0.24,0,1.39,1.92,4.95,1.18,0.03
528,Andi Zeqiri\Andi-Zeqiri,FWDF,Brighton,1.9,1.58,1.58,0,1.05,0.53,0,0.53,0,0.53,20.5,4.74,23.1,4.21,10.5,5.79,1.05,0.53,0,0.53,0,1.58,0.53,0
529,Oleksandr Zinchenko\Oleksandr-Zinchenko,DF,Manchester City,16.4,1.28,0.79,0.55,0.43,0.3,0.85,1.71,50,0.85,9.09,2.74,30.2,3.41,3.9,1.77,1.59,0.24,0,1.34,1.22,2.5,2.99,0
530,Hakim Ziyech\Hakim-Ziyech,FWMF,Chelsea,13,0.77,0.54,0.31,0.31,0.15,0.38,1.54,25,1.15,17.2,4.69,27.4,3.62,7.08,6.46,1.08,0.08,0,1,0.77,1.54,0.08,0
531,Kurt Zouma\Kurt-Zouma,DF,Chelsea,22.5,0.93,0.58,0.53,0.31,0.09,0.27,0.49,54.5,0.22,4.84,1.78,36.7,2.31,2.36,0.18,1.02,0.53,0,0.49,1.16,2.09,5.73,0.09
532,Martin Ødegaard\Martin-Odegaard,MF,Arsenal,9.6,0.73,0.52,0.1,0.42,0.21,0.21,1.04,20,0.83,19.2,4.58,23.9,3.75,8.23,7.19,0.31,0,0,0.31,0.52,1.25,0.52,0
