Rk,Player,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,GperSh,GperSoT,Dist,FK,PK,xG,NpxG,NpxGperSh,G-xG,Np:G-xG
320,Nathan Bitu Mazala\0f697e02,DF,Paris S-G,fr Ligue 1,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
321,Marco Bizot\3d214e5f,GK,Brest,fr Ligue 1,30,1991,38,0,0,0,,0,0,,,,0,0,0,0,,0,0
322,Bjarki Bjarkason\f1d25de7,FW,Venezia,it Serie A,21,2000,0,0,0,0,,0,0,,,,0,0,0,0,,0,0
323,Blanco\506daeac,MF,Real Madrid,es La Liga,21,2000,0.3,0,0,0,,0,0,,,,0,0,0,0,,0,0
324,Ludovic Blas\6191093d,MFFW,Nantes,fr Ligue 1,23,1997,32.9,0.3,2.58,0.97,37.6,2.58,0.97,0.06,0.16,20.1,0,0.15,0.35,0.23,0.09,-0.05,-0.08
325,Danny Blum\eb61713c,FWMF,Bochum,de Bundesliga,30,1991,3.8,0.53,2.89,1.32,45.5,2.86,1.3,0.18,0.4,16.6,0.26,0,0.26,0.26,0.09,0.26,0.26
326,Myron Boadu\5b479568,FW,Monaco,fr Ligue 1,20,2001,10.7,0.37,1.96,0.75,38.1,1.97,0.75,0.19,0.5,9.8,0,0,0.63,0.63,0.32,-0.25,-0.25
327,Jérôme Boateng\2db2fd7b,DF,Lyon,fr Ligue 1,32,1988,18,0,0.28,0.17,60,0.28,0.17,0,0,16.4,0,0,0.02,0.02,0.06,-0.02,-0.02
328,Kevin-Prince Boateng\f4ec4fd0,MFFW,Hertha BSC,de Bundesliga,34,1987,7.7,0,1.3,0.26,20,1.29,0.26,0,0,21.1,0,0,0.04,0.04,0.03,-0.04,-0.04
329,Antonin Bobichon\7d937aa1,MFFW,Angers,fr Ligue 1,25,1995,0.4,0,0,0,,0,0,,,,0,0,0,0,,0,0
330,Herbert Bockhorn\5ad8c360,DF,Bochum,de Bundesliga,26,1995,9.4,0,0.74,0.21,28.6,0.74,0.21,0,0,22.6,0.11,0,0.05,0.05,0.08,-0.05,-0.05
331,Jean-Paul Boëtius\635f2732,MF,Mainz 05,de Bundesliga,27,1994,20,0.1,1.2,0.4,33.3,1.2,0.4,0.08,0.25,22.1,0.05,0,0.07,0.07,0.06,0.03,0.03
