,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,,,,,,,,
Rk,Player,Pos,90s,Completed,Attempted,Percentage Completed,Total Distance,Progressive Distance,Completed,Attempted,Percentage Completed,Completed,Attempted,Percentage Completed,Attempted,Percentage Completed,Assists,xA,A-xA,Key Passes,1/3,PassesPA,CrossessPA,Prog
510,Ashley Westwood\Ashley-Westwood,MF,37.9,41.3,56.1,73.7,876.8,279.2,14.6,16.4,89.1,17.1,20.6,82.9,16.9,50.3,0.08,0.13,-0.05,1.29,4.78,1.93,0.32,5.33
511,Ben White\Ben-White,DFMF,35.5,41.4,49.7,83.2,867.2,265.5,13.7,15.2,90.2,20.5,23,89.3,10.6,64.3,0,0.02,-0.02,0.23,3.13,0.56,0.06,3.27
512,Georginio Wijnaldum\Georginio-Wijnaldum,MF,32.7,49.8,53.4,93.3,857.7,165.9,23.9,25.2,94.7,20.3,21.4,94.8,5.23,89.5,0,0.05,-0.05,0.67,4.28,0.64,0.03,2.84
513,Brandon Williams\Brandon-Williams,DF,2.1,57.1,66.7,85.7,981.9,352.9,29.5,31.4,93.9,21.4,26.2,81.8,6.67,85.7,0,0,0,0.48,3.81,0.95,0.48,2.86
514,Neco Williams\Neco-Williams,DF,2.8,55.7,76.1,73.2,910,311.4,28.9,32.5,89,19.3,23.6,81.8,11.8,42.4,0,0.11,-0.11,1.07,3.57,0.36,0.36,6.07
515,Rhys Williams\Rhys-Williams,DF,7.3,56.8,61.8,92,1284.1,317.3,12.5,13.7,91,31.2,32.7,95.4,14.7,86.9,0,0.05,-0.05,0.27,2.88,0.14,0,1.78
516,Willian\Willian,FWMF,15.6,40,50.4,79.3,755.4,147.4,17.9,20.3,88.3,16.3,19.4,84.2,9.68,56.3,0.32,0.16,0.16,1.86,2.18,1.92,0.64,3.14
517,Joe Willock\Joe-Willock,MF,2.6,26.5,35,75.8,414.6,107.3,13.5,16.2,83.3,10.8,13.1,82.4,3.46,33.3,0,0,0,0.77,3.46,1.54,0.38,2.31
518,Joe Willock\Joe-Willock,MF,10.9,16.5,21.5,76.9,273.7,104.6,8.17,9.36,87.3,5.78,7.52,76.8,3.03,54.5,0,0.06,-0.06,0.73,1.74,0.64,0.18,2.57
519,Callum Wilson\Callum-Wilson,FW,23.2,11,15.8,69.7,151.8,29.5,6.38,8.53,74.7,3.49,4.53,77.1,0.6,64.3,0.22,0.09,0.12,0.6,0.43,0.56,0,0.86
520,Harry Winks\Harry-Winks,MF,9.6,57.7,68.5,84.2,1091,307.4,24,26.3,91.3,25.3,28.1,90,11.5,65.5,0,0.03,-0.03,0.52,7.6,0.63,0,5.63
521,Chris Wood\Chris-Wood,FW,30.5,14.4,21.6,66.9,191.7,30,8.95,12.5,71.7,4.16,6.13,67.9,0.75,56.5,0.1,0.07,0.03,0.75,0.79,0.16,0,1.11
522,Granit Xhaka\Granit-Xhaka,MFDF,28,69.5,77.3,89.9,1405.5,366.3,25.1,27.4,91.5,32.6,34.8,93.5,13.4,82.9,0.07,0.06,0.01,0.64,9.57,1.04,0.04,7.61
523,Andriy Yarmolenko\Andriy-Yarmolenko,FWMF,4.2,29.5,37.4,79,513.8,139,16.7,18.8,88.6,8.57,11.9,72,5.71,70.8,0.24,0.24,0,1.19,2.38,1.43,0.48,2.62
524,DeAndre Yedlin\DeAndre-Yedlin,DF,4.8,23.1,35.8,64.5,366.7,168.5,12.7,15.8,80.3,7.5,11.5,65.5,6.46,35.5,0,0.02,-0.02,0.63,1.04,1.25,0.21,2.71
525,Okay Yokuşlu\Okay-Yokuslu,MF,14.6,30.2,36.3,83.2,524.9,155,14.5,16.2,89.4,10.4,12.7,81.7,5.21,77.6,0.07,0.04,0.03,0.34,1.85,0.21,0,2.88
526,Wilfried Zaha\Wilfried-Zaha,FW,29,20.3,26.8,75.8,307.9,76.6,12,14.7,81.5,6.14,7.52,81.7,2.38,60.9,0.07,0.11,-0.04,0.93,1,1.24,0.17,2.48
527,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,MF,28.7,41.7,49.1,84.9,715.3,170.5,19.2,22,87.5,18.5,20.5,90,4.6,68.2,0.1,0.08,0.03,0.94,4.67,0.8,0.17,3.97
528,Andi Zeqiri\Andi-Zeqiri,FWDF,1.9,10.5,22.6,46.5,162.1,44.2,5.79,9.47,61.1,3.68,6.84,53.8,4.21,12.5,0,0.05,-0.05,0.53,1.05,0.53,0.53,2.11
529,Oleksandr Zinchenko\Oleksandr-Zinchenko,DF,16.4,81.2,89.9,90.2,1329.6,369,42.5,44.8,95,31.8,34.6,92.1,8.48,68.3,0,0.08,-0.08,0.79,6.59,0.85,0,5.67
530,Hakim Ziyech\Hakim-Ziyech,FWMF,13,42.2,56.5,74.7,724.1,196.2,20.9,24.3,86.1,15.2,18.2,83.5,10.8,44.7,0.23,0.28,-0.05,2.62,3.62,2.46,0.46,5.38
531,Kurt Zouma\Kurt-Zouma,DF,22.5,70.2,76.4,91.9,1511.4,393.9,19.4,20.3,95.4,39.1,41.1,95.1,14.2,79.6,0,0,0,0.09,4.27,0.13,0,2.93
532,Martin Ødegaard\Martin-Odegaard,MF,9.6,46.9,54.3,86.4,762.4,185,23.3,24.4,95.7,17.4,19.7,88.4,7.08,58.8,0.21,0.22,-0.01,2.19,3.54,1.88,0.1,5
